Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Cotton,Powdery Mildew,Curling and mosaic pattern on leaves,Trichoderma,Use 5ml per liter in early morning,High humidity,Superphosphate
Maize,Bacterial Wilt,White powdery coating on leaves,Chlorothalonil,Spray in low sunlight conditions for best absorption,Drought conditions,Urea
Rice,Root Rot,White powdery coating on leaves,Carbendazim,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Potato,Rust,Mold growth on affected areas,Sulfur Dust,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Sugarcane,Root Rot,Stem lesions with hollow decay,Trichoderma,Mix with organic compost and apply near roots,Low rainfall,Urea
Rice,Rust,Stem lesions with hollow decay,Sulfur Dust,Apply when humidity is above 60%,Foggy conditions,General NPK 20-20-20
Potato,Root Rot,Black lesions on stem and roots,Chlorothalonil,Apply 1.5ml per liter of water weekly,Drought conditions,Urea
Maize,Blight,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Barley,Blight,Black lesions on stem and roots,Carbendazim,Use 5ml per liter in early morning,Hot summer season,Superphosphate
Wheat,Root Rot,Irregularly shaped brown blotches,Dithane M-45,Use 5ml per liter in early morning,Low rainfall,Urea
Barley,Root Rot,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,High humidity,Urea
Cotton,Bacterial Wilt,Wilting and stunted growth,Copper Oxychloride,Mix with organic compost and apply near roots,Foggy conditions,Urea
Rice,Bacterial Wilt,Small brown or black circular spots,Propiconazole,Dilute with 3 liters of water for every hectare,Drought conditions,Urea
Rice,Stem Rot,Curling and mosaic pattern on leaves,Sulfur Dust,Mix with organic compost and apply near roots,Warm and dry climate,Urea
Maize,Root Rot,Drooping leaves with yellow patches,Copper Oxychloride,Sprinkle powder directly on infected areas,Low rainfall,Urea
Maize,Root Rot,Yellowing of leaves with brown spots,Copper Oxychloride,Use every 10 days for effective results,Drought conditions,Urea
Barley,Root Rot,Mold growth on affected areas,Carbendazim,Mix with organic compost and apply near roots,Heavy rainfall,Urea
Cotton,Root Rot,Irregularly shaped brown blotches,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Urea
Maize,Powdery Mildew,Wilting and stunted growth,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Superphosphate
Tomato,Bacterial Wilt,White powdery coating on leaves,Mancozeb,Dilute with 3 liters of water for every hectare,Cold temperature,Urea
Wheat,Leaf Spot,Curling and mosaic pattern on leaves,Neem Oil,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Tomato,Powdery Mildew,Black lesions on stem and roots,Chlorothalonil,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Soybean,Powdery Mildew,Small brown or black circular spots,Propiconazole,Sprinkle powder directly on infected areas,Foggy conditions,Superphosphate
Maize,Stem Rot,Wilting and stunted growth,Neem Oil,Use 5ml per liter in early morning,Low rainfall,Urea
Soybean,Stem Rot,Curling and mosaic pattern on leaves,Dithane M-45,Apply when humidity is above 60%,Cold temperature,Urea
Wheat,Rust,White powdery coating on leaves,Chlorothalonil,Apply when humidity is above 60%,Heavy rainfall,General NPK 20-20-20
Tomato,Powdery Mildew,White powdery coating on leaves,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Foggy conditions,Superphosphate
Sugarcane,Rust,Black lesions on stem and roots,Carbendazim,Mix with organic compost and apply near roots,Drought conditions,General NPK 20-20-20
Potato,Powdery Mildew,Small brown or black circular spots,Sulfur Dust,Use 5ml per liter in early morning,Hot summer season,Superphosphate
Cotton,Mosaic Virus,Stem lesions with hollow decay,Chlorothalonil,Apply when humidity is above 60%,Heavy rainfall,10-10-10 NPK
Cotton,Mosaic Virus,Yellowing of leaves with brown spots,Trichoderma,Mix with organic compost and apply near roots,Heavy rainfall,10-10-10 NPK
Soybean,Mosaic Virus,Mold growth on affected areas,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,10-10-10 NPK
Maize,Leaf Spot,Wilting and stunted growth,Carbendazim,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Tomato,Mosaic Virus,Stem lesions with hollow decay,Neem Oil,Sprinkle powder directly on infected areas,Hot summer season,10-10-10 NPK
Groundnut,Powdery Mildew,Stem lesions with hollow decay,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Potato,Powdery Mildew,White powdery coating on leaves,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Superphosphate
Wheat,Bacterial Wilt,Stem lesions with hollow decay,Sulfur Dust,Mix with organic compost and apply near roots,Warm and dry climate,Urea
Wheat,Root Rot,Black lesions on stem and roots,Chlorothalonil,Use 5ml per liter in early morning,Drought conditions,Urea
Maize,Leaf Spot,Yellowing of leaves with brown spots,Copper Oxychloride,Mix with organic compost and apply near roots,Foggy conditions,General NPK 20-20-20
Maize,Stem Rot,White powdery coating on leaves,Propiconazole,Apply 1.5ml per liter of water weekly,High humidity,Urea
Sugarcane,Mosaic Virus,Yellowing of leaves with brown spots,Trichoderma,Mix with organic compost and apply near roots,Drought conditions,10-10-10 NPK
Sugarcane,Powdery Mildew,Small brown or black circular spots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,High humidity,Superphosphate
Potato,Blight,Yellowing of leaves with brown spots,Trichoderma,Apply when humidity is above 60%,Drought conditions,Superphosphate
Soybean,Mosaic Virus,Curling and mosaic pattern on leaves,Propiconazole,Use every 10 days for effective results,Cold temperature,10-10-10 NPK
Cotton,Rust,Mold growth on affected areas,Propiconazole,Mix with organic compost and apply near roots,Cold temperature,General NPK 20-20-20
Barley,Bacterial Wilt,Stem lesions with hollow decay,Sulfur Dust,Apply 1.5ml per liter of water weekly,Cold temperature,Urea
Sugarcane,Root Rot,Small brown or black circular spots,Sulfur Dust,Use every 10 days for effective results,Low rainfall,Urea
Barley,Mosaic Virus,Mold growth on affected areas,Copper Oxychloride,Use 5ml per liter in early morning,Hot summer season,10-10-10 NPK
Barley,Blight,Yellowing of leaves with brown spots,Propiconazole,Sprinkle powder directly on infected areas,High humidity,Superphosphate
Maize,Leaf Spot,Drooping leaves with yellow patches,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,High humidity,General NPK 20-20-20
Soybean,Root Rot,Mold growth on affected areas,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Urea
Wheat,Blight,Small brown or black circular spots,Carbendazim,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Rice,Powdery Mildew,White powdery coating on leaves,Chlorothalonil,Use 5ml per liter in early morning,Low rainfall,Superphosphate
Maize,Leaf Spot,Black lesions on stem and roots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Drought conditions,General NPK 20-20-20
Soybean,Leaf Spot,Small brown or black circular spots,Copper Oxychloride,Dilute with 3 liters of water for every hectare,Foggy conditions,General NPK 20-20-20
Maize,Powdery Mildew,Mold growth on affected areas,Trichoderma,Apply when humidity is above 60%,Heavy rainfall,Superphosphate
Potato,Mosaic Virus,Irregularly shaped brown blotches,Trichoderma,Mix with organic compost and apply near roots,High humidity,10-10-10 NPK
Tomato,Root Rot,Mold growth on affected areas,Sulfur Dust,Apply when humidity is above 60%,High humidity,Urea
Rice,Blight,Stem lesions with hollow decay,Mancozeb,Mix with organic compost and apply near roots,High humidity,Superphosphate
Cotton,Bacterial Wilt,Black lesions on stem and roots,Carbendazim,Dilute with 3 liters of water for every hectare,Low rainfall,Urea
Rice,Root Rot,White powdery coating on leaves,Neem Oil,Use 5ml per liter in early morning,Warm and dry climate,Urea
Cotton,Leaf Spot,Mold growth on affected areas,Propiconazole,Apply when humidity is above 60%,Low rainfall,General NPK 20-20-20
Rice,Stem Rot,Drooping leaves with yellow patches,Mancozeb,Use every 10 days for effective results,Warm and dry climate,Urea
Soybean,Root Rot,Drooping leaves with yellow patches,Trichoderma,Sprinkle powder directly on infected areas,Cold temperature,Urea
Wheat,Mosaic Virus,Stem lesions with hollow decay,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Cold temperature,10-10-10 NPK
Potato,Leaf Spot,Wilting and stunted growth,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Low rainfall,General NPK 20-20-20
Cotton,Leaf Spot,Drooping leaves with yellow patches,Dithane M-45,Spray in low sunlight conditions for best absorption,Cold temperature,General NPK 20-20-20
Tomato,Leaf Spot,Mold growth on affected areas,Propiconazole,Apply when humidity is above 60%,Low rainfall,General NPK 20-20-20
Potato,Leaf Spot,Mold growth on affected areas,Carbendazim,Apply when humidity is above 60%,Heavy rainfall,General NPK 20-20-20
Maize,Rust,Curling and mosaic pattern on leaves,Neem Oil,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Barley,Mosaic Virus,Stem lesions with hollow decay,Chlorothalonil,Apply 1.5ml per liter of water weekly,Drought conditions,10-10-10 NPK
Groundnut,Mosaic Virus,Yellowing of leaves with brown spots,Mancozeb,Spray in low sunlight conditions for best absorption,High humidity,10-10-10 NPK
Sugarcane,Rust,Wilting and stunted growth,Propiconazole,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Groundnut,Rust,White powdery coating on leaves,Carbendazim,Apply when humidity is above 60%,Foggy conditions,General NPK 20-20-20
Wheat,Leaf Spot,Drooping leaves with yellow patches,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Tomato,Bacterial Wilt,Curling and mosaic pattern on leaves,Propiconazole,Mix with organic compost and apply near roots,Cold temperature,Urea
Soybean,Leaf Spot,Curling and mosaic pattern on leaves,Trichoderma,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Potato,Rust,Mold growth on affected areas,Chlorothalonil,Use every 10 days for effective results,Warm and dry climate,General NPK 20-20-20
Cotton,Root Rot,Drooping leaves with yellow patches,Neem Oil,Dilute with 3 liters of water for every hectare,Foggy conditions,Urea
Sugarcane,Powdery Mildew,Curling and mosaic pattern on leaves,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Cold temperature,Superphosphate
Barley,Blight,Drooping leaves with yellow patches,Mancozeb,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Sugarcane,Leaf Spot,White powdery coating on leaves,Neem Oil,Use 5ml per liter in early morning,Low rainfall,General NPK 20-20-20
Sugarcane,Leaf Spot,Curling and mosaic pattern on leaves,Neem Oil,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Barley,Mosaic Virus,White powdery coating on leaves,Copper Oxychloride,Use 5ml per liter in early morning,Drought conditions,10-10-10 NPK
Rice,Leaf Spot,Wilting and stunted growth,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,General NPK 20-20-20
Tomato,Leaf Spot,White powdery coating on leaves,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Low rainfall,General NPK 20-20-20
Wheat,Root Rot,Wilting and stunted growth,Propiconazole,Apply 1.5ml per liter of water weekly,Warm and dry climate,Urea
Maize,Rust,Drooping leaves with yellow patches,Trichoderma,Use 5ml per liter in early morning,Hot summer season,General NPK 20-20-20
Sugarcane,Rust,Yellowing of leaves with brown spots,Trichoderma,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Rice,Bacterial Wilt,Mold growth on affected areas,Mancozeb,Use every 10 days for effective results,High humidity,Urea
Wheat,Stem Rot,Black lesions on stem and roots,Carbendazim,Use 5ml per liter in early morning,Warm and dry climate,Urea
Potato,Rust,Curling and mosaic pattern on leaves,Copper Oxychloride,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Cotton,Rust,Yellowing of leaves with brown spots,Chlorothalonil,Apply when humidity is above 60%,Low rainfall,General NPK 20-20-20
Barley,Mosaic Virus,Yellowing of leaves with brown spots,Trichoderma,Spray in low sunlight conditions for best absorption,Warm and dry climate,10-10-10 NPK
Tomato,Blight,Yellowing of leaves with brown spots,Mancozeb,Mix with organic compost and apply near roots,Drought conditions,Superphosphate
Barley,Leaf Spot,Wilting and stunted growth,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Hot summer season,General NPK 20-20-20
Barley,Leaf Spot,Curling and mosaic pattern on leaves,Propiconazole,Sprinkle powder directly on infected areas,High humidity,General NPK 20-20-20
Rice,Stem Rot,Curling and mosaic pattern on leaves,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,Urea
Potato,Leaf Spot,Black lesions on stem and roots,Neem Oil,Dilute with 3 liters of water for every hectare,Heavy rainfall,General NPK 20-20-20
Rice,Root Rot,Black lesions on stem and roots,Carbendazim,Spray in low sunlight conditions for best absorption,Cold temperature,Urea
Tomato,Rust,Mold growth on affected areas,Neem Oil,Apply 1.5ml per liter of water weekly,Cold temperature,General NPK 20-20-20
Maize,Bacterial Wilt,White powdery coating on leaves,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Urea
Rice,Blight,Wilting and stunted growth,Propiconazole,Use 5ml per liter in early morning,Drought conditions,Superphosphate
Barley,Stem Rot,Stem lesions with hollow decay,Propiconazole,Mix with organic compost and apply near roots,High humidity,Urea
Potato,Leaf Spot,Black lesions on stem and roots,Mancozeb,Dilute with 3 liters of water for every hectare,High humidity,General NPK 20-20-20
Groundnut,Blight,Stem lesions with hollow decay,Sulfur Dust,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Rice,Stem Rot,White powdery coating on leaves,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Urea
Groundnut,Rust,Irregularly shaped brown blotches,Mancozeb,Apply 1.5ml per liter of water weekly,Cold temperature,General NPK 20-20-20
Groundnut,Powdery Mildew,Curling and mosaic pattern on leaves,Propiconazole,Apply 1.5ml per liter of water weekly,Foggy conditions,Superphosphate
Groundnut,Bacterial Wilt,Drooping leaves with yellow patches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Maize,Mosaic Virus,Curling and mosaic pattern on leaves,Propiconazole,Use every 10 days for effective results,High humidity,10-10-10 NPK
